time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445500000	13.26	2.28188	5.10872	0.349952	0.190196	lidar	1.5002	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4828	2.3726	5.08375	0.362372	0.19352	radar	2.19918	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7349	2.50988	5.11245	0.386657	0.206033	lidar	0.813677	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9664	2.60814	5.10485	0.397956	0.207221	radar	0.158233	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1941	2.77907	5.12101	0.433239	0.22897	lidar	0.839524	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4317	2.88681	5.13132	0.443181	0.227125	radar	0.284164	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6301	2.97878	5.09203	0.451761	0.225215	lidar	1.23654	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8622	3.09129	5.09993	0.462155	0.223999	radar	0.295235	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0659	3.29702	5.11228	0.506466	0.25327	lidar	1.40772	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2881	3.42452	5.10919	0.520385	0.254809	radar	0.425859	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4995	3.63206	5.13437	0.560294	0.278697	lidar	1.26967	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7141	3.76973	5.13167	0.574568	0.27915	radar	0.0422992	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9333	3.93398	5.14746	0.595307	0.284965	lidar	0.225431	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1412	4.08239	5.13851	0.612122	0.288265	radar	0.682947	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3363	4.2921	5.15669	0.647902	0.30719	lidar	0.745919	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5432	4.44964	5.15908	0.66302	0.306976	radar	0.159567	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7148	4.63456	5.14529	0.691262	0.318891	lidar	0.470925	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8986	4.80516	5.1248	0.713551	0.326908	radar	1.90102	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0596	5.0434	5.13859	0.756466	0.350675	lidar	1.00701	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2377	5.22292	5.12871	0.776997	0.354482	radar	0.377705	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3913	5.4196	5.1152	0.804724	0.363825	lidar	0.370179	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5568	5.60714	5.10232	0.826958	0.368908	radar	0.642483	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7491	5.74862	5.08708	0.827423	0.352965	lidar	0.52916	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.909	5.94061	5.07338	0.850298	0.359584	radar	0.925761	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0831	6.1391	5.08483	0.86811	0.359186	lidar	0.103988	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2408	6.33625	5.07901	0.888618	0.362395	radar	0.220674	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
